date,Month,Day,Year,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precip,IntCondition,month
1/1/2020,January,1,2020,57.04761905,30.9047619,40.33333333,17.35714286,0.0,30.00357143,0,11.78571429,1
1/2/2020,January,2,2020,62.13043478,24.2826087,25.19565217,15.63043478,0.0,30.05826087,0,9.0,1
1/3/2020,January,3,2020,63.06382979,35.9787234,38.36170213,6.680851064,0.0,30.05276596,0,8.0,1
1/4/2020,January,4,2020,62.77272727,49.20454545,63.56818182,3.136363636,0.0,29.96704545,0,9.409090909,1
1/5/2020,January,5,2020,66.44444444,59.77777778,80.11111111,2.244444444,0.0,29.92444444,0,14.8,1
1/6/2020,January,6,2020,64.125,49.04166667,60.89583333,8.479166667,0.0,29.950625,0,11.22916667,1
1/7/2020,January,7,2020,60.08510638,46.36170213,61.82978723,11.44680851,0.0,29.95510638,0,6.595744681,1
1/8/2020,January,8,2020,61.5,38.86842105,50.76315789,5.210526316,0.0,29.16894737,0,4.236842105,1
1/9/2020,January,9,2020,58.31914894,27.19148936,38.14893617,7.0,0.0,30.02787234,0,3.70212766,1
1/10/2020,January,10,2020,60.23404255,27.10638298,29.72340426,14.72340426,0.0,30.01957447,0,3.382978723,1
1/11/2020,January,11,2020,65.86666667,31.95555556,28.91111111,21.24444444,0.0,29.95377778,0,12.4,1
1/12/2020,January,12,2020,63.91111111,33.75555556,34.02222222,17.31111111,0.0,29.88355556,0,9.377777778,1
1/13/2020,January,13,2020,60.13043478,40.5,50.80434783,7.652173913,0.0,29.86478261,0,2.130434783,1
1/14/2020,January,14,2020,59.43181818,33.59090909,42.02272727,7.636363636,0.0,29.22272727,0,4.613636364,1
1/15/2020,January,15,2020,60.81818182,32.77272727,37.0,10.90909091,0.0,29.97659091,0,3.75,1
1/16/2020,January,16,2020,61.06976744,31.53488372,36.02325581,5.627906977,0.0,29.99953488,0,3.604651163,1
1/17/2020,January,17,2020,59.91111111,27.71111111,33.91111111,5.711111111,0.0,29.97933333,0,3.444444444,1
1/18/2020,January,18,2020,60.63043478,29.10869565,33.47826087,7.065217391,0.0,29.99043478,0,1.891304348,1
1/19/2020,January,19,2020,62.7826087,27.97826087,28.69565217,11.34782609,0.0,30.0426087,0,3.630434783,1
1/20/2020,January,20,2020,61.36956522,34.91304348,39.86956522,3.02173913,0.0,29.96826087,0,4.652173913,1
1/21/2020,January,21,2020,65.07142857,43.57142857,47.4047619,5.452380952,0.0,29.96714286,0,4.214285714,1
1/22/2020,January,22,2020,65.88888889,40.75555556,41.13333333,15.62222222,0.0,30.07333333,0,7.933333333,1
1/23/2020,January,23,2020,65.525,39.05,39.3,11.45,0.0,30.06625,0,4.55,1
1/24/2020,January,24,2020,65.0,37.36842105,38.68421053,3.789473684,0.0,30.00210526,0,5.263157895,1
1/25/2020,January,25,2020,64.15909091,47.90909091,55.90909091,4.181818182,0.0,29.92840909,0,6.386363636,1
1/26/2020,January,26,2020,69.0,60.07142857,74.95238095,3.285714286,0.0,29.86642857,0,11.02380952,1
1/27/2020,January,27,2020,69.59090909,48.06818182,50.56818182,10.20454545,0.0,29.79909091,0,6.409090909,1
1/28/2020,January,28,2020,64.88888889,34.46666667,36.91111111,7.088888889,0.0,29.85111111,0,2.377777778,1
1/29/2020,January,29,2020,63.84782609,29.0,28.80434783,5.02173913,0.0,29.93282609,0,2.673913043,1
1/30/2020,January,30,2020,63.30952381,32.28571429,34.52380952,6.619047619,0.0,29.99642857,0,3.0,1
1/31/2020,January,31,2020,63.06666667,37.88888889,41.62222222,4.466666667,0.0,29.93133333,0,4.222222222,1
2/1/2020,February,1,2020,65.63043478,36.13043478,40.93478261,6.956521739,0.0,29.97086957,0,3.086956522,2
2/2/2020,February,2,2020,67.0,29.42222222,26.28888889,9.2,0.0,30.01888889,0,1.0,2
2/3/2020,February,3,2020,65.81818182,39.31818182,39.38636364,6.295454545,0.0,29.97659091,0,3.909090909,2
2/4/2020,February,4,2020,67.97674419,53.04651163,61.62790698,3.441860465,0.0,28.51511628,0,6.627906977,2
