Unnamed: 0,date,Month,Day,Year,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precip,IntCondition,month,p1,p2,p3,p4,p5,Season,IntSeason,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,Date,Event
0,1/1/2020,January,1,2020,57.04761905,30.9047619,40.33333333,17.35714286,0.008432517,30.00357143,0.0,11,1,64.0,39,60,50,22,Winter,1,120,66,33,61,83,27,49,13,16.958753437213566,29.958753437213566,2020-01-01,0
1,1/2/2020,January,2,2020,62.13043478,24.2826087,25.19565217,15.63043478,0.008432517,30.05826087,0.0,9,1,66.0,41,62,52,24,Winter,1,124,70,37,65,87,31,49,17,37.0,50.0,2020-01-02,0
2,1/3/2020,January,3,2020,63.06382979,35.9787234,38.36170213,6.680851064,0.008432517,30.05276596,0.0,8,1,63.0,38,59,49,21,Winter,1,118,66,33,61,83,31,48,17,44.0,57.0,2020-01-03,0
3,1/4/2020,January,4,2020,62.77272727,49.20454545,63.56818182,3.136363636,0.008432517,29.96704545,0.0,9,1,62.0,37,58,48,20,Winter,1,116,67,34,62,84,35,48,21,46.0,59.0,2020-01-04,0
4,1/5/2020,January,5,2020,66.44444444,59.77777778,80.11111111,2.244444444,0.008432517,29.92444444,0.0,14,1,64.0,39,54,50,22,Winter,1,108,68,35,63,85,29,52,15,20.0,33.0,2020-01-05,0
5,1/6/2020,January,6,2020,64.125,49.04166667,60.89583333,8.479166667,0.008432517,29.950625,0.0,11,1,62.0,37,58,48,20,Winter,1,116,68,35,63,85,36,47,22,29.0,42.0,2020-01-06,0
6,1/7/2020,January,7,2020,60.08510638,46.36170213,61.82978723,11.44680851,0.008432517,29.95510638,0.0,6,1,62.0,37,54,48,20,Winter,1,108,71,38,66,88,27,50,13,16.958753437213566,29.958753437213566,2020-01-07,0
7,1/8/2020,January,8,2020,61.5,38.86842105,50.76315789,5.210526316,0.008432517,29.16894737,0.0,4,1,64.0,39,60,50,22,Winter,1,120,68,35,63,85,33,48,19,33.0,46.0,2020-01-08,0
8,1/9/2020,January,9,2020,58.31914894,27.19148936,38.14893617,7.0,0.008432517,30.02787234,0.0,3,1,64.0,39,60,50,22,Winter,1,120,68,35,63,85,31,49,17,24.0,37.0,2020-01-09,0
9,1/10/2020,January,10,2020,60.23404255,27.10638298,29.72340426,14.72340426,0.008432517,30.01957447,0.0,3,1,62.0,37,58,48,20,Winter,1,116,71,38,66,88,32,48,18,19.0,32.0,2020-01-10,0
10,1/11/2020,January,11,2020,65.86666667,31.95555556,28.91111111,21.24444444,0.008432517,29.95377778,0.0,12,1,63.0,38,54,49,21,Winter,1,108,66,33,61,83,33,51,19,30.0,43.0,2020-01-11,0
11,1/12/2020,January,12,2020,63.91111111,33.75555556,34.02222222,17.31111111,0.008432517,29.88355556,0.0,9,1,63.0,38,44,49,21,Winter,1,88,70,37,65,87,30,49,16,24.0,37.0,2020-01-12,0
12,1/13/2020,January,13,2020,60.13043478,40.5,50.80434783,7.652173913,0.008432517,29.86478261,0.0,2,1,64.0,39,60,50,22,Winter,1,120,68,35,63,85,32,48,18,21.0,34.0,2020-01-13,0
13,1/14/2020,January,14,2020,59.43181818,33.59090909,42.02272727,7.636363636,0.008432517,29.22272727,0.0,4,1,65.0,40,61,51,23,Winter,1,122,67,34,62,84,30,47,16,10.0,23.0,2020-01-14,0
14,1/15/2020,January,15,2020,60.81818182,32.77272727,37.0,10.90909091,0.008432517,29.97659091,0.0,3,1,62.0,37,58,48,20,Winter,1,116,67,34,62,84,30,48,16,42.0,55.0,2020-01-15,0
15,1/16/2020,January,16,2020,61.06976744,31.53488372,36.02325581,5.627906977,0.008432517,29.99953488,0.0,3,1,65.0,40,51,51,23,Winter,1,102,68,35,63,85,33,47,19,30.0,43.0,2020-01-16,0
16,1/17/2020,January,17,2020,59.91111111,27.71111111,33.91111111,5.711111111,0.008432517,29.97933333,0.0,3,1,64.0,39,63,50,22,Winter,1,126,67,34,62,84,32,47,18,6.0,19.0,2020-01-17,0
17,1/18/2020,January,18,2020,60.63043478,29.10869565,33.47826087,7.065217391,0.008432517,29.99043478,0.0,1,1,63.0,38,59,49,21,Winter,1,118,67,34,62,84,30,52,16,7.0,20.0,2020-01-18,0
18,1/19/2020,January,19,2020,62.7826087,27.97826087,28.69565217,11.34782609,0.008432517,30.0426087,0.0,3,1,76.00365965,40,71,51,23,Winter,1,142,68,35,63,85,29,49,15,20.0,33.0,2020-01-19,0
19,1/20/2020,January,20,2020,61.36956522,34.91304348,39.86956522,3.02173913,0.008432517,29.96826087,0.0,4,1,62.0,37,58,48,20,Winter,1,116,67,34,62,84,27,52,13,25.0,38.0,2020-01-20,0
20,1/21/2020,January,21,2020,65.07142857,43.57142857,47.4047619,5.452380952,0.008432517,29.96714286,0.0,4,1,64.0,39,60,50,22,Winter,1,120,70,37,65,87,28,50,14,24.0,37.0,2020-01-21,0
21,1/22/2020,January,22,2020,65.88888889,40.75555556,41.13333333,15.62222222,0.008432517,30.07333333,0.0,7,1,65.0,40,61,51,23,Winter,1,122,66,33,61,83,28,50,14,8.0,21.0,2020-01-22,0
22,1/23/2020,January,23,2020,65.525,39.05,39.3,11.45,0.008432517,30.06625,0.0,4,1,62.0,37,58,48,20,Winter,1,116,66,33,61,83,31,48,17,17.0,30.0,2020-01-23,0
23,1/24/2020,January,24,2020,65.0,37.36842105,38.68421053,3.789473684,0.008432517,30.00210526,0.0,5,1,63.0,38,59,49,21,Winter,1,118,67,36,64,84,30,51,16,37.0,50.0,2020-01-24,0
24,1/25/2020,January,25,2020,64.15909091,47.90909091,55.90909091,4.181818182,0.008432517,29.92840909,0.0,6,1,62.0,37,58,48,20,Winter,1,116,67,36,64,84,28,49,14,25.0,38.0,2020-01-25,0
25,1/26/2020,January,26,2020,69.0,60.07142857,74.95238095,3.285714286,0.008432517,29.86642857,0.0,11,1,65.0,40,61,51,23,Winter,1,122,66,33,61,83,31,52,17,21.0,34.0,2020-01-26,0
26,1/27/2020,January,27,2020,69.59090909,48.06818182,50.56818182,10.20454545,0.008432517,29.79909091,0.0,6,1,67.0,42,63,53,25,Winter,1,126,69,36,64,86,33,48,19,7.0,20.0,2020-01-27,0
27,1/28/2020,January,28,2020,64.88888889,34.46666667,36.91111111,7.088888889,0.008432517,29.85111111,0.0,2,1,64.0,39,60,50,22,Winter,1,120,69,36,64,86,32,50,18,19.0,32.0,2020-01-28,0
28,1/29/2020,January,29,2020,63.84782609,29.0,28.80434783,5.02173913,0.008432517,29.93282609,0.0,2,1,64.0,39,70,50,22,Winter,1,140,68,35,63,85,32,47,18,11.0,24.0,2020-01-29,0
29,1/30/2020,January,30,2020,63.30952381,32.28571429,34.52380952,6.619047619,0.008432517,29.99642857,0.0,3,1,62.0,37,58,48,20,Winter,1,116,73,40,68,90,28,50,14,6.0,19.0,2020-01-30,0
30,1/31/2020,January,31,2020,63.06666667,37.88888889,41.62222222,4.466666667,0.008432517,29.93133333,0.0,4,1,62.0,37,58,48,20,Winter,1,116,72,39,67,89,32,48,18,14.0,27.0,2020-01-31,0
31,2/1/2020,February,1,2020,65.63043478,36.13043478,40.93478261,6.956521739,0.008432517,29.97086957,0.0,3,2,62.0,37,58,48,20,Winter,1,116,72,45,40,48,34,48,20,23.0,36.0,2020-02-01,0
32,2/2/2020,February,2,2020,67.0,29.42222222,26.28888889,9.2,0.008432517,30.01888889,0.0,1,2,62.0,37,58,48,20,Winter,1,116,70,43,38,46,30,48,16,8.0,21.0,2020-02-02,0
33,2/3/2020,February,3,2020,65.81818182,39.31818182,39.38636364,6.295454545,0.008432517,29.97659091,0.0,3,2,64.0,39,60,50,22,Winter,1,120,71,44,39,47,29,48,15,11.0,24.0,2020-02-03,0
34,2/4/2020,February,4,2020,67.97674419,53.04651163,61.62790698,3.441860465,0.008432517,28.51511628,0.0,6,2,63.0,38,59,49,21,Winter,1,118,72,45,40,48,29,48,15,27.0,40.0,2020-02-04,0
