date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,Temperature,Dew Point,Humidity,Wind Speed,Pressure,IntCondition,IntSeason,month,Event
3/31/2020,6399.010979,3834,5597,4177,2590,9683,6343,3704,4272,5441,2791,4407,1517,1749.87626,3121.917507,70.29683801,43.16533359,42.5538486,8.164104372,29.84377263,4.593406593,1,3,1
6/30/2020,7593,4173,6061,3459,4454,7557,5650,4257,2427,8501,2711,4410,1451,1169.711274,2345.958753,87.85735092,70.79188967,59.38371413,10.5314641,29.53673413,2.733333333,2,6,1
9/30/2020,7526,4165,6348,3496,5082,6684,5823,3866,3181,8686,2790,4724,1533,1127.87626,2257,87.76727916,76.16082237,69.57572565,10.43206662,29.35707077,6.282608696,3,9,1
12/31/2020,6478.007319,4164,6096,4139,2966,6479,6285,3437,5238,7832,2789,4513,1532,1956.958753,3984.958753,73.88892688,47.75878109,45.46063212,6.747079982,29.81927542,6.119565217,4,12,1
3/31/2021,7051.00366,3640,5530,4103,2544,10637,6336,3720,4293,6154,2732,4370,1534,1963.835014,3754.87626,71.86445017,47.69452883,49.55939041,6.636281789,29.79787713,6.644444444,1,3,1
6/30/2021,7566,4184,6053,3482,4449,6529,5616,4216,2414,9067,2725,4377,1479,1269.917507,2591.958753,88.26575174,68.91051264,56.69102326,12.13518899,29.49636236,4.561797753,2,6,1
9/30/2021,7060,4494,6426,3570,5156,6335,5848,3891,3206,9271,2787,4847,1499,1336.463795,2242,85.97936058,73.75998735,67.8755107,13.05860837,29.48766005,7.554347826,3,9,1
12/31/2021,5811,4206,6138,4181,3008,7808,6349,3499,5300,6859,2777,4592,1489,1658.917507,3755.958753,75.165974,49.70102423,46.87276592,6.519089491,29.77544318,7.217391304,4,12,1
3/31/2022,5293,3702,5592,4165,2606,11010,6317,3701,4274,4898,2745,4397,1485,1699.463795,2809.958753,72.39229265,51.10216337,52.77736267,7.0424743,29.81907293,6.244444444,1,3,1
6/30/2022,7605,4223,6092,3521,4488,5875,5639,4239,2437,9818,2658,4484,1412,1158.432631,1454.958753,87.31270887,70.88288127,61.09709141,13.1410967,29.42098812,5.640449438,2,6,1
9/30/2022,7973,4477,6409,3553,5139,5687,5916,3959,3274,8985,2780,4744,1492,974.1750687,1723,83.88750567,75.29167255,76.18990879,10.10218458,29.35895128,7.891304348,3,9,1
12/31/2022,6736,4201,6133,4176,3003,7219,6354,3504,5305,6137,2783,4606,1464,1446.835014,3031.917507,75.86584624,55.77484027,55.33211987,5.63419153,29.85378496,7.25,4,12,1
