,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Temperature,Dew Point,Humidity,Wind Speed,Wind,Pressure,IntCondition,Year,Month,Day,date,Date,Event
0,0,4,3,32,7,0,0,2,61.9375,15.125,17.5625,15.6875,35.375,30.07,1.25,2014,1,2,1/2/2014,2014-01-02,0
1,8,4,4,50,16,0,20,4,60.04347826,21.56521739,25.52173913,8.173913043,144.0869565,30.00869565,1.0,2014,1,3,1/3/2014,2014-01-03,0
2,2,1,6,61,9,0,9,1,61.72727273,37.27272727,45.54545455,5.5,106.5,28.55590909,1.0,2014,1,4,1/4/2014,2014-01-04,0
3,4,3,7,41,8,0,3,0,61.34782609,25.95652174,33.26086957,4.913043478,58.86956522,29.91043478,1.0,2014,1,5,1/5/2014,2014-01-05,0
4,5,1,4,21,16,2,6,2,59.22727273,25.81818182,28.77272727,8.227272727,46.22727273,24.50727273,1.409090909,2014,1,6,1/6/2014,2014-01-06,0
5,0,0,0,0,0,0,0,0,61.13636364,19.59090909,23.27272727,8.318181818,40.22727273,29.93409091,1.0,2014,1,7,1/7/2014,2014-01-07,0
6,5,3,9,26,17,1,10,0,59.71428571,24.80952381,29.28571429,6.666666667,60.33333333,29.91571429,2.238095238,2014,1,8,1/8/2014,2014-01-08,0
7,7,1,6,24,13,0,3,2,58.18181818,23.0,36.31818182,6.909090909,25.68181818,29.99090909,1.0,2014,1,9,1/9/2014,2014-01-09,0
8,5,1,2,52,14,2,0,2,57.21052632,22.10526316,32.36842105,7.368421053,53.42105263,29.97842105,1.631578947,2014,1,10,1/10/2014,2014-01-10,0
9,4,2,10,43,10,0,1,0,59.9047619,23.14285714,28.95238095,7.571428571,37.71428571,28.63952381,2.428571429,2014,1,11,1/11/2014,2014-01-11,0
10,2,0,3,12,8,0,1,1,60.18181818,25.72727273,29.90909091,6.636363636,48.36363636,30.07681818,3.090909091,2014,1,12,1/12/2014,2014-01-12,0
11,6,7,4,51,8,0,7,1,62.63636364,33.54545455,38.04545455,6.181818182,84.04545455,30.01272727,3.818181818,2014,1,13,1/13/2014,2014-01-13,0
12,6,2,12,34,6,1,0,2,63.08695652,30.26086957,43.47826087,6.652173913,89.17391304,26.06695652,1.0,2014,1,14,1/14/2014,2014-01-14,0
13,4,2,5,27,12,2,3,3,64.18181818,36.36363636,41.90909091,7.181818182,103.5454545,30.01545455,1.0,2014,1,15,1/15/2014,2014-01-15,0
14,6,2,4,28,19,1,5,0,63.81818182,34.68181818,39.81818182,7.0,92.31818182,27.275,1.0,2014,1,16,1/16/2014,2014-01-16,0
15,2,4,8,20,15,0,6,3,65.17391304,42.91304348,48.13043478,7.304347826,99.0,29.93391304,1.565217391,2014,1,17,1/17/2014,2014-01-17,0
16,1,5,5,43,15,4,7,2,64.39130435,27.26086957,33.91304348,7.782608696,103.0434783,29.99434783,1.0,2014,1,18,1/18/2014,2014-01-18,0
17,4,4,4,14,4,0,1,1,63.43478261,36.17391304,40.08695652,15.47826087,29.47826087,24.86391304,1.47826087,2014,1,19,1/19/2014,2014-01-19,0
18,6,3,3,10,17,2,12,3,64.9,43.45,48.3,20.05,46.25,30.0205,3.25,2014,1,20,1/20/2014,2014-01-20,0
19,2,3,4,33,10,2,0,0,63.7,42.3,49.0,10.05,37.4,29.9995,2.3,2014,1,21,1/21/2014,2014-01-21,0
20,7,3,5,16,10,0,5,2,65.61904762,43.71428571,48.23809524,8.0,124.5238095,30.00714286,1.380952381,2014,1,22,1/22/2014,2014-01-22,0
21,4,4,5,26,2,3,1,3,64.83333333,46.79166667,56.58333333,7.583333333,71.5,30.0325,1.25,2014,1,23,1/23/2014,2014-01-23,0
22,4,7,7,20,10,1,0,0,64.86956522,40.34782609,43.26086957,7.304347826,36.43478261,27.42130435,1.043478261,2014,1,24,1/24/2014,2014-01-24,0
23,6,9,5,37,18,0,5,1,65.63636364,38.63636364,43.77272727,7.590909091,73.95454545,29.99909091,1.727272727,2014,1,25,1/25/2014,2014-01-25,0
24,4,2,0,24,4,0,0,0,67.26086957,39.2173913,42.17391304,7.869565217,55.0,28.6973913,1.0,2014,1,26,1/26/2014,2014-01-26,0
25,4,4,1,24,17,2,1,3,68.52173913,36.47826087,36.2173913,10.26086957,40.34782609,30.00608696,2.391304348,2014,1,27,1/27/2014,2014-01-27,0
26,6,3,3,13,22,5,1,5,70.17391304,36.43478261,33.34782609,7.260869565,141.1304348,29.96956522,2.043478261,2014,1,28,1/28/2014,2014-01-28,0
27,4,1,2,12,7,0,1,2,66.5,47.68181818,54.09090909,7.727272727,134.1818182,28.55863636,1.0,2014,1,29,1/29/2014,2014-01-29,0
28,2,1,2,26,7,1,3,2,67.56521739,43.7826087,48.0,7.565217391,93.17391304,29.94478261,3.0,2014,1,30,1/30/2014,2014-01-30,0
