,datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Hour,Day,Temperature,Dew Point,Humidity,Wind,Wind Speed,Pressure,IntCondition
0,2014-01-02,0,1,0,2,0,0,0,1,2014,1,8,2,48.0,21.0,34.0,0,6.0,30.1,1
1,2014-01-02,0,0,1,0,2,0,0,0,2014,1,9,2,54.0,23.0,30.0,23,8.0,30.13,1
2,2014-01-02,0,0,0,3,2,0,0,0,2014,1,10,2,61.0,23.0,23.0,45,14.0,30.16,1
3,2014-01-02,0,0,0,2,1,0,0,0,2014,1,11,2,64.0,19.0,18.0,45,15.0,30.16,1
4,2014-01-02,0,2,0,5,2,0,0,0,2014,1,12,2,66.0,16.0,14.0,45,13.0,30.13,1
5,2014-01-02,0,1,2,20,0,0,0,1,2014,1,13,2,68.0,12.0,12.0,45,25.0,30.1,2
6,2014-01-02,0,0,0,0,0,0,0,0,2014,1,14,2,70.0,12.0,11.0,68,26.0,30.04,2
7,2014-01-02,0,0,0,0,0,0,0,0,2014,1,15,2,70.0,14.0,12.0,23,21.0,30.01,2
8,2014-01-02,0,0,0,0,0,0,0,0,2014,1,16,2,70.0,14.0,12.0,45,25.0,30.01,2
9,2014-01-02,0,0,0,0,0,0,0,0,2014,1,17,2,70.0,10.0,10.0,23,17.0,30.01,1
10,2014-01-02,0,0,0,0,0,0,0,0,2014,1,18,2,66.0,10.0,11.0,45,18.0,30.01,1
11,2014-01-02,0,0,0,0,0,0,0,0,2014,1,19,2,63.0,10.0,13.0,45,17.0,30.01,1
12,2014-01-02,0,0,0,0,0,0,0,0,2014,1,20,2,57.0,10.0,16.0,45,13.0,30.04,1
13,2014-01-02,0,0,0,0,0,0,0,0,2014,1,21,2,55.0,12.0,18.0,23,12.0,30.07,1
14,2014-01-02,0,0,0,0,0,0,0,0,2014,1,22,2,55.0,18.0,23.0,23,14.0,30.07,1
15,2014-01-02,0,0,0,0,0,0,0,0,2014,1,23,2,54.0,18.0,24.0,23,7.0,30.07,1
16,2014-01-03,0,0,0,0,0,0,0,0,2014,1,0,3,54.0,18.0,24.0,23,7.0,30.04,1
17,2014-01-03,0,0,0,0,0,0,0,0,2014,1,1,3,52.0,14.0,22.0,23,14.0,30.04,1
18,2014-01-03,0,0,0,0,0,0,0,0,2014,1,2,3,50.0,12.0,22.0,0,8.0,30.04,1
19,2014-01-03,0,0,0,0,0,0,0,0,2014,1,3,3,48.0,12.0,24.0,0,7.0,30.04,1
20,2014-01-03,0,0,0,0,0,0,0,0,2014,1,4,3,48.0,12.0,24.0,0,7.0,30.01,1
21,2014-01-03,0,0,0,0,0,0,0,0,2014,1,5,3,52.0,12.0,21.0,0,7.0,30.04,1
23,2014-01-03,0,0,0,0,1,0,0,0,2014,1,7,3,46.0,9.0,22.0,338,7.0,30.04,1
24,2014-01-03,0,0,0,1,0,0,0,0,2014,1,8,3,46.0,9.0,22.0,338,5.0,30.07,1
