M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Temperature,Dew Point,Humidity,Wind Speed,Wind,Pressure,IntCondition,Year,Month,Day,datum,Ro6Classification,N02BEClassification,M01ABClassification,M01AEClassification,N02BAClassification,N05BClassification,R03Classification
0,4,3,32,7,0,0,2,61.9375,15.125,17.5625,15.6875,35.375,30.07,1.25,2014,1,2,2014-01-02,0,1,0,1,0,0,0
8,4,4,50,16,0,20,4,60.04347826086956,21.565217391304348,25.52173913043478,8.173913043478262,144.08695652173913,30.00869565217392,1.0,2014,1,3,2014-01-03,1,1,1,1,1,1,1
2,1,6,61,9,0,9,1,61.72727272727273,37.27272727272727,45.54545454545455,5.5,106.5,28.555909090909093,1.0,2014,1,4,2014-01-04,0,1,0,0,1,1,1
4,3,7,41,8,0,3,0,61.34782608695652,25.956521739130437,33.26086956521739,4.913043478260869,58.869565217391305,29.910434782608696,1.0,2014,1,5,2014-01-05,0,1,0,0,1,0,0
5,1,4,21,16,2,6,2,59.22727272727273,25.818181818181817,28.772727272727277,8.227272727272727,46.22727272727273,24.507272727272724,1.4090909090909092,2014,1,6,2014-01-06,0,0,1,0,1,1,1
0,0,0,0,0,0,0,0,61.13636363636363,19.59090909090909,23.272727272727277,8.318181818181818,40.22727272727273,29.934090909090912,1.0,2014,1,7,2014-01-07,0,0,0,0,0,0,0
5,3,9,26,17,1,10,0,59.71428571428572,24.80952380952381,29.285714285714285,6.666666666666667,60.333333333333336,29.915714285714287,2.238095238095238,2014,1,8,2014-01-08,0,0,1,0,1,1,1
7,1,6,24,13,0,3,2,58.18181818181818,23.0,36.31818181818182,6.909090909090909,25.681818181818183,29.99090909090909,1.0,2014,1,9,2014-01-09,0,0,1,0,1,1,0
5,1,2,52,14,2,0,2,57.21052631578947,22.105263157894736,32.36842105263158,7.368421052631579,53.42105263157895,29.97842105263158,1.631578947368421,2014,1,10,2014-01-10,0,1,1,0,0,1,0
4,2,10,43,10,0,1,0,59.90476190476191,23.142857142857142,28.952380952380956,7.571428571428571,37.71428571428572,28.63952380952381,2.4285714285714284,2014,1,11,2014-01-11,0,1,0,0,1,1,0
2,0,3,12,8,0,1,1,60.18181818181818,25.727272727272727,29.90909090909091,6.636363636363637,48.36363636363637,30.076818181818183,3.090909090909091,2014,1,12,2014-01-12,0,0,0,0,0,0,0
6,7,4,51,8,0,7,1,62.63636363636363,33.54545454545455,38.04545454545455,6.181818181818182,84.04545454545455,30.012727272727272,3.8181818181818175,2014,1,13,2014-01-13,0,1,1,1,1,0,1
6,2,12,34,6,1,0,2,63.08695652173913,30.26086956521739,43.47826086956522,6.652173913043479,89.17391304347827,26.06695652173913,1.0,2014,1,14,2014-01-14,0,1,1,0,1,0,0
4,2,5,27,12,2,3,3,64.18181818181819,36.36363636363637,41.90909090909091,7.181818181818182,103.54545454545456,30.015454545454546,1.0,2014,1,15,2014-01-15,1,1,0,0,1,1,0
6,2,4,28,19,1,5,0,63.81818181818182,34.68181818181818,39.81818181818182,7.0,92.3181818181818,27.275,1.0,2014,1,16,2014-01-16,0,1,1,0,1,1,1
2,4,8,20,15,0,6,3,65.17391304347827,42.91304347826087,48.130434782608695,7.304347826086956,99.0,29.933913043478263,1.565217391304348,2014,1,17,2014-01-17,1,0,0,1,1,1,1
1,5,5,43,15,4,7,2,64.3913043478261,27.26086956521739,33.91304347826087,7.782608695652174,103.04347826086956,29.99434782608696,1.0,2014,1,18,2014-01-18,0,1,0,1,1,1,1
4,4,4,14,4,0,1,1,63.43478260869565,36.17391304347826,40.08695652173913,15.478260869565217,29.47826086956522,24.86391304347826,1.4782608695652173,2014,1,19,2014-01-19,0,0,0,1,1,0,0
6,3,3,10,17,2,12,3,64.9,43.45,48.3,20.05,46.25,30.0205,3.25,2014,1,20,2014-01-20,1,0,1,0,0,1,1
2,3,4,33,10,2,0,0,63.7,42.3,49.0,10.05,37.4,29.9995,2.3,2014,1,21,2014-01-21,0,1,0,0,1,1,0
7,3,5,16,10,0,5,2,65.61904761904762,43.71428571428572,48.23809523809524,8.0,124.52380952380952,30.007142857142856,1.380952380952381,2014,1,22,2014-01-22,0,0,1,0,1,1,1
4,4,5,26,2,3,1,3,64.83333333333333,46.79166666666666,56.583333333333336,7.583333333333333,71.5,30.0325,1.25,2014,1,23,2014-01-23,1,0,0,1,1,0,0
4,7,7,20,10,1,0,0,64.8695652173913,40.34782608695652,43.26086956521739,7.304347826086956,36.43478260869565,27.42130434782609,1.0434782608695652,2014,1,24,2014-01-24,0,0,0,1,1,1,0
6,9,5,37,18,0,5,1,65.63636363636364,38.63636363636363,43.77272727272727,7.590909090909091,73.95454545454545,29.99909090909091,1.7272727272727273,2014,1,25,2014-01-25,0,1,1,1,1,1,1
4,2,0,24,4,0,0,0,67.26086956521739,39.21739130434783,42.17391304347826,7.869565217391305,55.0,28.697391304347825,1.0,2014,1,26,2014-01-26,0,0,0,0,0,0,0
4,4,1,24,17,2,1,3,68.52173913043478,36.47826086956522,36.21739130434783,10.26086956521739,40.34782608695652,30.006086956521735,2.391304347826087,2014,1,27,2014-01-27,1,0,0,1,0,1,0
6,3,3,13,22,5,1,5,70.17391304347827,36.43478260869565,33.34782608695652,7.260869565217392,141.1304347826087,29.969565217391303,2.0434782608695654,2014,1,28,2014-01-28,1,0,1,0,0,1,0
4,1,2,12,7,0,1,2,66.5,47.68181818181818,54.09090909090909,7.727272727272727,134.1818181818182,28.558636363636364,1.0,2014,1,29,2014-01-29,0,0,0,0,0,0,0
2,1,2,26,7,1,3,2,67.56521739130434,43.78260869565217,48.0,7.565217391304348,93.17391304347828,29.94478260869565,3.0,2014,1,30,2014-01-30,0,0,0,0,0,0,0
1,2,7,27,9,0,1,0,71.38095238095238,47.04761904761905,47.80952380952381,7.142857142857143,133.1904761904762,28.510952380952386,1.761904761904762,2014,1,31,2014-01-31,0,1,0,0,1,1,0
4,5,5,43,13,1,14,0,71.95652173913044,45.73913043478261,41.91304347826087,6.478260869565218,76.52173913043478,29.90478260869565,3.869565217391304,2014,2,1,2014-02-01,0,1,0,1,1,1,1
7,3,0,13,6,2,8,0,70.8695652173913,44.34782608695652,40.65217391304348,7.086956521739131,157.7391304347826,28.58434782608696,3.1739130434782608,2014,2,2,2014-02-02,0,0,1,0,0,0,1
4,1,6,28,13,1,1,0,69.6,53.85,58.55,10.9,184.75,28.379,1.9,2014,2,3,2014-02-03,0,1,0,0,1,1,0
1,3,7,31,8,1,17,2,71.56521739130434,58.95652173913044,67.34782608695652,8.26086956521739,122.47826086956522,28.530869565217397,1.0,2014,2,4,2014-02-04,0,1,0,0,1,0,1
3,4,6,32,15,1,1,1,71.17391304347827,61.26086956521739,72.17391304347827,8.130434782608695,209.5217391304348,27.193043478260872,1.391304347826087,2014,2,5,2014-02-05,0,1,0,1,1,1,0
3,6,4,41,17,2,5,2,72.65217391304348,62.869565217391305,72.6086956521739,10.826086956521738,257.5217391304348,29.746086956521737,4.826086956521739,2014,2,6,2014-02-06,0,1,0,1,1,1,1
2,8,11,21,19,1,0,0,68.56521739130434,33.04347826086956,32.30434782608695,14.043478260869565,261.39130434782606,29.80130434782609,1.434782608695652,2014,2,7,2014-02-07,0,0,0,1,1,1,0
2,2,13,30,12,1,1,1,63.54545454545455,29.40909090909091,35.18181818181818,7.0,134.22727272727272,29.829545454545453,1.0,2014,2,8,2014-02-08,0,1,0,0,1,1,0
4,3,2,31,10,0,6,0,63.04347826086956,31.695652173913043,37.91304347826087,7.608695652173913,97.0,29.83478260869565,1.0,2014,2,9,2014-02-09,0,1,0,0,0,1,1
5,10,8,32,16,3,3,1,65.5909090909091,32.54545454545455,35.45454545454545,10.5,200.77272727272728,28.429090909090917,2.272727272727273,2014,2,10,2014-02-10,0,1,1,1,1,1,0
10,6,13,45,20,2,6,2,65.68181818181819,25.545454545454547,28.181818181818183,7.0,133.13636363636363,29.81681818181818,1.0,2014,2,11,2014-02-11,0,1,1,1,1,1,1
9,1,9,74,9,0,5,0,66.69565217391305,24.52173913043478,22.869565217391305,12.956521739130435,52.08695652173913,29.80217391304348,1.2173913043478262,2014,2,12,2014-02-12,0,1,1,0,1,1,1
4,3,10,48,13,3,0,1,67.75,25.33333333333333,27.625,12.791666666666666,102.54166666666669,28.53916666666667,3.75,2014,2,13,2014-02-13,0,1,0,0,1,1,0
4,4,3,42,13,4,0,6,67.4090909090909,27.318181818181817,31.545454545454547,7.0,158.8181818181818,28.452272727272728,3.3181818181818183,2014,2,14,2014-02-14,1,1,0,1,0,1,0
1,2,2,37,9,0,1,5,68.19047619047619,30.80952380952381,31.23809523809524,11.047619047619047,267.1428571428572,29.790000000000003,1.0,2014,2,15,2014-02-15,1,1,0,0,0,1,0
0,2,1,34,5,2,3,1,66.08695652173913,19.73913043478261,24.565217391304348,11.08695652173913,35.43478260869565,29.890434782608697,1.0434782608695652,2014,2,16,2014-02-16,0,1,0,0,0,0,0
7,4,12,27,13,1,7,0,68.30434782608695,21.52173913043478,18.39130434782609,10.652173913043478,65.82608695652173,29.998260869565215,1.173913043478261,2014,2,17,2014-02-17,0,1,1,1,1,1,1
