datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precip.,Condition_int
2014-01-05,14,12,20,184,40,0,32,7,61.20238095238095,25.654761904761905,31.36904761904762,8.011904761904763,0.0,29.612976190476193,0.0,0.047619047619047616
2014-01-12,28,8,34,178,78,5,21,7,59.40268456375839,23.476510067114095,29.798657718120804,7.389261744966443,0.0,28.982885906040266,0.0,0.5637583892617449
2014-01-19,29,26,42,217,79,8,29,12,63.822784810126585,34.449367088607595,40.78481012658228,8.253164556962025,1.1139240506329113,28.293860759493672,0.0,0.3987341772151899
2014-01-26,33,31,29,166,71,8,23,9,65.2875816993464,42.06535947712418,47.35294117647059,9.594771241830065,0.37254901960784315,29.425098039215687,0.0,0.49673202614379086
2014-02-02,28,19,20,158,81,11,29,12,69.5632911392405,42.99367088607595,43.01898734177215,7.651898734177215,0.0,29.36987341772152,0.0,1.0316455696202531
2014-02-09,19,27,49,214,94,7,31,6,68.60509554140127,47.28662420382165,53.7515923566879,9.528662420382165,0.0,29.052675159235672,0.0,0.5859872611464968
2014-02-16,33,28,46,312,85,14,18,16,66.77070063694268,26.445859872611464,28.687898089171973,10.388535031847134,0.3184713375796178,29.24089171974522,0.0,0.7006369426751592
2014-02-23,37,32,42,226,96,3,35,7,68.54901960784314,38.24183006535948,40.10457516339869,9.18954248366013,0.0,29.723202614379083,0.0,0.09803921568627451
2014-03-02,35,27,40,209,51,2,16,10,70.31055900621118,41.72670807453416,41.94409937888199,9.726708074534162,0.0,29.522173913043478,0.0,0.6273291925465838
2014-03-09,23,19,30,199,48,4,16,9,74.24683544303798,52.822784810126585,52.139240506329116,7.924050632911392,0.0,29.72101265822785,0.0,0.6392405063291139
2014-03-16,30,19,34,164,89,5,36,19,77.28662420382166,37.445859872611464,29.14012738853503,10.318471337579618,0.4585987261146497,29.88904458598726,0.0,0.7515923566878981
2014-03-23,38,22,25,200,36,4,27,23,76.99367088607595,54.35443037974684,50.38607594936709,9.727848101265822,0.0,29.4176582278481,0.0,0.7911392405063291
2014-03-30,23,16,36,132,41,6,29,24,78.88484848484849,54.448484848484846,45.81212121212121,8.793939393939393,0.0,29.271757575757576,0.0,1.7575757575757576
2014-04-06,18,19,32,147,31,7,27,20,80.54088050314465,64.93081761006289,61.9685534591195,11.0125786163522,0.660377358490566,29.37352201257862,0.0,1.169811320754717
2014-04-13,34,19,20,141,44,4,22,20,80.19018404907976,58.06748466257669,52.104294478527606,10.036809815950921,0.0,29.593987730061347,0.0,1.0245398773006136
2014-04-20,26,17,32,126,59,1,24,18,83.67484662576688,70.20245398773007,65.42331288343559,9.662576687116564,0.0,29.362147239263802,0.0,1.7852760736196318
2014-04-27,22,18,21,181,53,4,10,13,86.5679012345679,62.25308641975309,47.71604938271605,9.882716049382717,0.17901234567901234,29.20141975308642,0.0,0.9506172839506173
2014-05-04,20,22,23,169,49,6,24,13,87.0122699386503,70.15950920245399,60.239263803680984,11.815950920245399,0.18404907975460122,29.08558282208589,0.0,1.0674846625766872
2014-05-11,23,30,27,147,65,9,15,36,88.44736842105263,68.125,53.25,12.210526315789474,0.4276315789473684,29.425,0.0,0.8092105263157895
2014-05-18,20,22,34,151,55,2,42,18,85.65060240963855,71.06024096385542,62.765060240963855,14.096385542168674,0.0,29.309698795180722,0.0,2.6265060240963853
2014-05-25,24,19,33,114,56,5,20,37,87.95151515151515,72.30909090909091,61.27878787878788,11.909090909090908,0.0,29.087090909090907,0.0,0.12727272727272726
2014-06-01,16,19,24,141,67,3,19,28,87.84146341463415,74.13414634146342,64.71951219512195,14.628048780487806,0.29878048780487804,29.40871951219512,0.0,1.3414634146341464
2014-06-08,23,20,32,154,64,8,19,27,90.71686746987952,74.9578313253012,61.825301204819276,13.644578313253012,0.0,26.826987951807226,0.0,1.0602409638554218
