index,datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,Condition_int
0,1/2/2014,0,1,0,2,0,0,0,1,48,21,34,N,6,0,30.1,0,Fair,0
1,1/2/2014,0,0,1,0,2,0,0,0,54,23,30,NNE,8,0,30.13,0,Fair,0
2,1/2/2014,0,0,0,3,2,0,0,0,61,23,23,NE,14,0,30.16,0,Fair,0
3,1/2/2014,0,0,0,2,1,0,0,0,64,19,18,NE,15,0,30.16,0,Fair,0
4,1/2/2014,0,2,0,5,2,0,0,0,66,16,14,NE,13,0,30.13,0,Fair,0
5,1/2/2014,0,1,2,20,0,0,0,1,68,12,12,NE,25,0,30.1,0,Fair / Windy,1
6,1/2/2014,0,0,0,0,0,0,0,0,70,12,11,ENE,26,0,30.04,0,Fair / Windy,1
7,1/2/2014,0,0,0,0,0,0,0,0,70,14,12,NNE,21,0,30.01,0,Fair / Windy,1
8,1/2/2014,0,0,0,0,0,0,0,0,70,14,12,NE,25,0,30.01,0,Fair / Windy,1
9,1/2/2014,0,0,0,0,0,0,0,0,70,10,10,NNE,17,0,30.01,0,Fair,0
10,1/2/2014,0,0,0,0,0,0,0,0,66,10,11,NE,18,0,30.01,0,Fair,0
11,1/2/2014,0,0,0,0,0,0,0,0,63,10,13,NE,17,0,30.01,0,Fair,0
12,1/2/2014,0,0,0,0,0,0,0,0,57,10,16,NE,13,0,30.04,0,Fair,0
13,1/2/2014,0,0,0,0,0,0,0,0,55,12,18,NNE,12,0,30.07,0,Fair,0
14,1/2/2014,0,0,0,0,0,0,0,0,55,18,23,NNE,14,0,30.07,0,Fair,0
15,1/2/2014,0,0,0,0,0,0,0,0,54,18,24,NNE,7,0,30.07,0,Fair,0
16,1/3/2014,0,0,0,0,0,0,0,0,54,18,24,NNE,7,0,30.04,0,Fair,0
17,1/3/2014,0,0,0,0,0,0,0,0,52,14,22,NNE,14,0,30.04,0,Fair,0
18,1/3/2014,0,0,0,0,0,0,0,0,50,12,22,N,8,0,30.04,0,Fair,0
19,1/3/2014,0,0,0,0,0,0,0,0,48,12,24,N,7,0,30.04,0,Fair,0
20,1/3/2014,0,0,0,0,0,0,0,0,48,12,24,N,7,0,30.01,0,Fair,0
21,1/3/2014,0,0,0,0,0,0,0,0,52,12,21,N,7,0,30.04,0,Fair,0
23,1/3/2014,0,0,0,0,1,0,0,0,46,9,22,NNW,7,0,30.04,0,Fair,0
24,1/3/2014,0,0,0,1,0,0,0,0,46,9,22,NNW,5,0,30.07,0,Fair,0
25,1/3/2014,0,0,1,1,0,0,0,0,54,10,18,ENE,5,0,30.1,0,Fair,0
26,1/3/2014,1,2,0,4,2,0,0,0,59,9,14,NE,13,0,30.1,0,Fair,0
27,1/3/2014,4,0,1,8,4,0,0,0,66,9,11,ENE,6,0,30.1,0,Fair,0
28,1/3/2014,0,0,0,10,4,0,10,1,68,12,12,ENE,8,0,30.07,0,Fair,0
29,1/3/2014,1,1,0,3,2,0,0,0,72,16,12,ENE,9,0,30.01,0,Fair,0
30,1/3/2014,0,0,0,3,0,0,1,0,72,21,15,W,7,0,29.98,0,Fair,0
31,1/3/2014,1,0,0,3,0,0,6,2,73,27,18,W,10,0,29.95,0,Fair,0
32,1/3/2014,0,1,0,4,0,0,2,0,73,28,19,W,9,0,29.92,0,Fair,0
33,1/3/2014,1,0,1,4,1,0,0,1,72,30,22,WNW,12,0,29.92,0,Fair,0
34,1/3/2014,0,0,1,0,2,0,0,0,70,30,23,WNW,13,0,29.92,0,Fair,0
35,1/3/2014,0,0,0,1,0,0,1,0,66,36,32,WNW,9,0,29.95,0,Fair,0
36,1/3/2014,0,0,0,8,0,0,0,0,64,43,45,W,9,0,29.95,0,Fair,0
37,1/3/2014,0,0,0,0,0,0,0,0,63,43,48,SW,5,0,29.98,0,Fair,0
38,1/3/2014,0,0,0,0,0,0,0,0,59,43,55,NNE,6,0,29.98,0,Fair,0
39,1/3/2014,0,0,0,0,0,0,0,0,54,41,62,ENE,5,0,29.95,0,Fair,0
40,1/4/2014,0,0,0,0,0,0,0,0,54,41,62,E,5,0,29.95,0,Fair,0
41,1/4/2014,0,0,0,0,0,0,0,0,52,37,58,ENE,5,0,29.92,0,Fair,0
42,1/4/2014,0,0,0,0,0,0,0,0,50,37,62,NE,5,0,29.92,0,Fair,0
43,1/4/2014,0,0,0,0,0,0,0,0,50,36,58,NE,5,0,29.92,0,Fair,0
44,1/4/2014,0,0,0,0,0,0,0,0,48,36,62,NNE,5,0,29.89,0,Fair,0
45,1/4/2014,0,0,0,0,0,0,0,0,48,36,62,NE,5,0,29.89,0,Fair,0
47,1/4/2014,0,0,0,0,0,0,0,0,46,37,71,CALM,0,0,29.92,0,Fair,0
48,1/4/2014,1,0,0,0,0,0,0,0,46,39,76,N,5,0,29.95,0,Fair,0
49,1/4/2014,0,0,0,9,0,0,0,0,54,41,62,N,3,0,29.98,0,Fair,0
50,1/4/2014,0,0,1,9,3,0,5,0,63,46,55,ENE,6,0,29.98,0,Fair,0
51,1/4/2014,1,0,2,5,0,0,0,0,68,46,46,VAR,3,0,0,0,Fair,0
52,1/4/2014,0,0,0,2,0,0,0,0,75,37,25,W,6,0,29.95,0,Fair,0
53,1/4/2014,0,0,0,3,1,0,0,0,75,30,19,NW,9,0,29.92,0,Fair,0
54,1/4/2014,0,1,0,6,2,0,0,0,77,27,16,NW,14,0,29.89,0,Fair,0
55,1/4/2014,0,0,0,1,0,0,0,0,79,28,16,NNW,6,0,29.87,0,Fair,0
56,1/4/2014,0,0,0,6,0,0,0,0,79,27,15,VAR,3,0,29.87,0,Fair,0
58,1/4/2014,0,0,0,10,0,0,0,0,73,39,29,S,6,0,29.87,0,Fair,0
59,1/4/2014,0,0,3,9,0,0,4,1,70,43,38,SSW,3,0,29.89,0,Fair,0
60,1/4/2014,0,0,0,1,3,0,0,0,66,43,43,W,5,0,29.89,0,Fair,0
61,1/4/2014,0,0,0,0,0,0,0,0,64,34,32,NE,9,0,29.92,0,Fair,0
62,1/4/2014,0,0,0,0,0,0,0,0,64,39,40,CALM,0,0,29.92,0,Fair,0
63,1/4/2014,0,0,0,0,0,0,0,0,57,41,55,NNE,13,0,29.92,0,Fair,0
64,1/5/2014,0,0,0,0,0,0,0,0,57,36,44,NNE,7,0,29.92,0,Fair,0
65,1/5/2014,0,0,0,0,0,0,0,0,55,34,44,NE,5,0,29.92,0,Fair,0
66,1/5/2014,0,0,0,0,0,0,0,0,54,34,47,N,3,0,29.89,0,Fair,0
67,1/5/2014,0,0,0,0,0,0,0,0,52,0,47,N,2,0,29.89,0,Fair,0
68,1/5/2014,0,0,0,0,0,0,0,0,50,0,50,N,5,0,29.89,0,Fair,0
69,1/5/2014,0,0,0,0,0,0,0,0,48,30,50,N,6,0,29.89,0,Fair,0
70,1/5/2014,0,0,0,0,0,0,0,0,46,28,50,N,5,0,29.89,0,Fair,0
71,1/5/2014,0,0,0,0,0,0,0,0,48,25,40,NNE,5,0,29.92,0,Fair,0
72,1/5/2014,1,0,1,3,0,0,0,0,48,25,40,NNE,10,0,29.95,0,Fair,0
73,1/5/2014,0,0,1,5,2,0,0,0,55,25,31,NNE,3,0,29.98,0,Fair,0
74,1/5/2014,0,0,0,4,0,0,0,0,63,19,19,CALM,0,0,29.98,0,Fair,0
75,1/5/2014,0,0,0,4,1,0,3,0,72,18,13,ESE,3,0,29.98,0,Fair,0
76,1/5/2014,1,2,2,13,3,0,0,0,73,21,14,E,5,0,29.95,0,Fair,0
77,1/5/2014,2,1,3,12,2,0,0,0,75,21,13,CALM,0,0,29.92,0,Fair,0
78,1/5/2014,0,0,0,0,0,0,0,0,77,19,12,VAR,2,0,29.89,0,Fair,0
79,1/5/2014,0,0,0,0,0,0,0,0,77,18,11,NNW,8,0,29.87,0,Fair,0
80,1/5/2014,0,0,0,0,0,0,0,0,75,28,18,VAR,5,0,29.87,0,Fair,0
81,1/5/2014,0,0,0,0,0,0,0,0,73,30,20,S,8,0,29.87,0,Fair,0
82,1/5/2014,0,0,0,0,0,0,0,0,70,34,27,SSW,7,0,29.87,0,Fair,0
83,1/5/2014,0,0,0,0,0,0,0,0,64,37,37,WSW,9,0,29.87,0,Fair,0
84,1/5/2014,0,0,0,0,0,0,0,0,61,37,42,VAR,3,0,29.89,0,Fair,0
85,1/5/2014,0,0,0,0,0,0,0,0,61,39,45,VAR,3,0,29.92,0,Fair,0
86,1/5/2014,0,0,0,0,0,0,0,0,57,39,51,NE,9,0,29.92,0,Fair,0
88,1/6/2014,0,0,0,0,0,0,0,0,54,36,51,ENE,7,0,29.92,0,Fair,0
89,1/6/2014,0,0,0,0,0,0,0,0,54,36,51,NE,5,0,0,0,Fair,0
90,1/6/2014,0,0,0,0,0,0,0,0,50,36,58,N,5,0,0,0,Fair,0
91,1/6/2014,0,0,0,0,0,0,0,0,50,34,54,N,7,0,0,0,Fair,0
92,1/6/2014,0,0,0,0,0,0,0,0,0,0,0,NE,12,0,0,0,Fair,0
95,1/6/2014,0,0,0,0,0,0,0,0,46,28,50,N,7,0,29.92,0,Fair,0
96,1/6/2014,0,0,0,1,1,0,0,0,46,28,50,N,7,0,29.95,0,Fair,0
97,1/6/2014,0,0,2,1,2,0,0,1,54,30,41,NE,3,0,29.98,0,Fair,0
98,1/6/2014,0,0,1,0,0,0,3,0,63,27,26,ENE,6,0,30.01,0,Fair,0
99,1/6/2014,0,0,1,3,4,0,0,0,70,25,18,ENE,9,0,30.01,0,Fair,0
100,1/6/2014,1,0,0,3,2,0,3,0,73,23,15,ENE,12,0,29.98,0,Fair,0
101,1/6/2014,1,0,0,8,1,2,0,1,75,25,15,NNE,9,0,29.95,0,Fair,0
102,1/6/2014,2,1,0,0,2,0,0,0,75,23,14,NNE,10,0,29.92,0,Fair,0
103,1/6/2014,1,0,0,3,3,0,0,0,75,25,15,NE,12,0,29.92,0,Partly Cloudy,2
104,1/6/2014,0,0,0,0,0,0,0,0,75,23,14,ENE,8,0,29.89,0,Partly Cloudy,2
105,1/6/2014,0,0,0,2,1,0,0,0,73,23,15,ENE,6,0,29.92,0,Partly Cloudy,2
106,1/6/2014,0,0,0,0,0,0,0,0,68,23,18,E,6,0,29.92,0,Fair,0
107,1/6/2014,0,0,0,0,0,0,0,0,66,23,19,E,6,0,29.95,0,Fair,0
108,1/6/2014,0,0,0,0,0,0,0,0,63,27,26,ENE,7,0,29.98,0,Fair,0
109,1/6/2014,0,0,0,0,0,0,0,0,59,25,27,NE,12,0,29.98,0,Fair,0
110,1/6/2014,0,0,0,0,0,0,0,0,59,23,25,NE,13,0,29.98,0,Fair,0
111,1/6/2014,0,0,0,0,0,0,0,0,55,25,31,NE,12,0,29.98,0,Fair,0
112,1/7/2014,0,0,0,0,0,0,0,0,55,25,31,N,6,0,29.98,0,Fair,0
113,1/7/2014,0,0,0,0,0,0,0,0,54,25,33,NNE,5,0,29.95,0,Fair,0
114,1/7/2014,0,0,0,0,0,0,0,0,54,27,35,NNE,5,0,29.92,0,Fair,0
115,1/7/2014,0,0,0,0,0,0,0,0,50,27,40,NE,7,0,29.92,0,Fair,0
116,1/7/2014,0,0,0,0,0,0,0,0,48,27,43,NE,5,0,29.92,0,Fair,0
118,1/7/2014,0,0,0,0,0,0,0,0,46,25,43,NNE,5,0,29.92,0,Fair,0
119,1/7/2014,0,0,0,0,0,0,0,0,46,25,43,NNE,9,0,29.92,0,Fair,0
120,1/7/2014,0,0,0,0,0,0,0,0,48,23,37,NNE,6,0,29.95,0,Fair,0
121,1/7/2014,0,0,0,0,0,0,0,0,59,21,23,NNE,9,0,29.98,0,Fair,0
122,1/7/2014,0,0,0,0,0,0,0,0,66,19,17,NNE,9,0,30.01,0,Fair,0
123,1/7/2014,0,0,0,0,0,0,0,0,72,18,13,NE,14,0,30.01,0,Fair,0
124,1/7/2014,0,0,0,0,0,0,0,0,73,18,12,ENE,15,0,29.98,0,Fair,0
125,1/7/2014,0,0,0,0,0,0,0,0,75,16,11,NE,10,0,29.95,0,Fair,0
126,1/7/2014,0,0,0,0,0,0,0,0,75,14,10,ENE,12,0,29.92,0,Fair,0
128,1/7/2014,0,0,0,0,0,0,0,0,77,14,9,ENE,8,0,29.89,0,Fair,0
129,1/7/2014,0,0,0,0,0,0,0,0,75,14,10,ENE,10,0,29.89,0,Fair,0
130,1/7/2014,0,0,0,0,0,0,0,0,70,12,11,ENE,8,0,29.87,0,Fair,0
131,1/7/2014,0,0,0,0,0,0,0,0,66,14,13,ENE,7,0,29.89,0,Fair,0
132,1/7/2014,0,0,0,0,0,0,0,0,63,14,15,NE,7,0,29.89,0,Fair,0
133,1/7/2014,0,0,0,0,0,0,0,0,61,16,17,NE,14,0,29.92,0,Fair,0
134,1/7/2014,0,0,0,0,0,0,0,0,57,18,21,NNE,9,0,29.95,0,Fair,0
135,1/7/2014,0,0,0,0,0,0,0,0,55,19,25,NNE,3,0,29.92,0,Fair,0
136,1/8/2014,0,0,0,0,0,0,0,0,54,19,26,NNE,5,0,29.92,0,Fair,0
138,1/8/2014,0,0,0,0,0,0,0,0,52,21,30,NE,5,0,29.87,0,Fair,0
139,1/8/2014,0,0,0,0,0,0,0,0,52,21,30,N,3,0,29.87,0,Fair,0
140,1/8/2014,0,0,0,0,0,0,0,0,50,21,32,NNW,5,0,29.87,0,Fair,0
141,1/8/2014,0,0,0,0,0,0,0,0,50,23,35,N,7,0,29.87,0,Fair,0
143,1/8/2014,0,0,0,0,0,0,0,0,48,27,43,N,5,0,29.89,0,Fair,0
144,1/8/2014,1,0,0,1,2,0,2,0,48,27,43,N,3,0,29.89,0,Fair,0
145,1/8/2014,0,0,2,1,3,0,0,0,55,27,33,ENE,3,0,29.92,0,Fair,0
146,1/8/2014,0,0,2,0,2,0,0,0,64,30,28,N,10,0,29.95,0,Fair,0
147,1/8/2014,1,1,0,0,2,0,0,0,64,28,26,NNW,7,0,29.98,0,Mostly Cloudy,3
148,1/8/2014,0,0,1,2,2,0,0,0,66,27,23,NNE,9,0,29.95,0,Mostly Cloudy,3
149,1/8/2014,0,1,2,2,0,0,5,0,68,27,21,NNE,8,0,29.92,0,Mostly Cloudy,3
150,1/8/2014,0,0,0,10,2,0,0,0,70,27,20,ENE,12,0,29.89,0,Mostly Cloudy,3
151,1/8/2014,1,0,0,2,1,1,0,0,72,25,17,NNE,7,0,29.87,0,Mostly Cloudy,3
152,1/8/2014,1,0,1,0,0,0,0,0,72,25,17,NE,7,0,29.87,0,Partly Cloudy,2
