,M01AB,M01AB,M01AB,M01AB,M01AE,M01AE,M01AE,M01AE,N02BA,N02BA,N02BA,N02BA,N02BE,N02BE,N02BE,N02BE,N05B,N05B,N05B,N05B,N05C,N05C,N05C,N05C,R03,R03,R03,R03,R06,R06,R06,R06,Temperature,Temperature,Temperature,Dew Point,Dew Point,Dew Point,Humidity,Humidity,Humidity,Wind Speed,Wind Speed,Wind Speed,Wind Gust,Wind Gust,Wind Gust,Pressure,Pressure,Pressure,Precip.,Precip.,Precip.,Condition_int,Condition_int,Condition_int
,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,sum,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean,min,max,mean
datum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/31/2014,121,0,4,0.18445122,88,0,2,0.134146341,140,0,4,0.213414634,847,0,20,1.291158537,330,0,7,0.50304878,29,0,3,0.044207317,112,0,10,0.170731707,47,0,4,0.071646341,0,84,63.67530488,0,55,33.9222561,0,82,39.11890244,0,29,8.297256098,0,36,0.355182927,0,30.19,29.07560976,0,0,0,0,4,0.471036585
2/28/2014,126,0,5,0.200956938,118,0,3,0.188197767,169,0,4,0.26953748,961,0,16,1.532695375,335,0,7,0.534290271,29,0,3,0.046251994,122,0,11,0.194577352,36,0,5,0.057416268,0,84,68.73205742,0,66,38.02392344,0,94,39.98086124,0,99,9.614035088,0,25,0.079744817,0,30.07,29.33503987,0,0,0,0,5,0.582137161
3/31/2014,128,0,4,0.180535966,82,0,3,0.115655853,142,0,6,0.200282087,766,0,18,1.080394922,230,0,6,0.324400564,20,0,2,0.028208745,112,0,21,0.15796897,84,0,3,0.118476728,0,91,76.48519041,0,68,50.17066291,0,94,45.41748942,0,24,9.166431594,0,25,0.101551481,0,30.43,29.59873061,0,0,0,0,7,0.947813822
4/30/2014,103,0,5,0.148629149,77,0,3,0.111111111,115,0,3,0.165945166,675,0,12,0.974025974,206,0,4,0.297258297,18,0,3,0.025974026,91,0,6,0.131313131,71,0,2,0.102453102,0,106,83.41702742,0,75,64.31168831,0,89,56.59018759,0,28,10.24242424,0,29,0.193362193,0,29.92,29.39914863,0,0,0,0,10,1.19047619
5/31/2014,94,0,4,0.131101813,106,0,3,0.147838215,126,0,3,0.175732218,617,0,13,0.860529986,263,0,6,0.366806137,21,0,3,0.029288703,107,0,20,0.149232915,123,0,3,0.171548117,0,104,87.18410042,0,79,71.52859135,0,89,61.20083682,0,203,13.10878661,0,30,0.20083682,0,29.78,29.21152022,0,0,0,0,12,1.274755927
6/30/2014,107,0,4,0.150492264,84,0,2,0.11814346,120,0,3,0.168776371,546,0,11,0.767932489,319,0,6,0.448663854,23,0,3,0.032348805,57,0,10,0.080168776,108,0,4,0.151898734,79,108,89.62869198,61,81,75.30801688,26,89,63.6230661,3,37,15.91701828,0,0,0,0,29.66,27.67601969,0,0,0,0,15,2.807313643
7/31/2014,113,0,4,0.155433287,83,0,3,0.114167813,127,0,4,0.174690509,489,0,16,0.672627235,343,0,11,0.471801926,21,0,2,0.028885832,57,0,10,0.078404402,69,0,3,0.094910591,79,99,86.89133425,68,82,73.99312242,44,94,66.10316369,0,152,15.76616231,0,0,0,0,29.6,29.32877579,0,0,0,0,22,3.646492435
8/31/2014,115,0,3,0.163584637,84,0,3,0.119487909,120,0,3,0.170697013,513,0,13,0.72972973,401,0,7,0.570412518,29,0,5,0.041251778,37,0,10,0.052631579,60,0,3,0.085348506,0,99,85.3314367,0,79,72.02987198,0,94,64.7197724,0,29,13.75675676,0,0,0,0,29.75,29.23008535,0,0,0,0,18,2.856330014
9/30/2014,102,0,5,0.146341463,92,0,3,0.131994261,106,0,3,0.152080344,839,0,20,1.203730273,387,0,7,0.555236729,13,0,1,0.018651363,115,0,21,0.164992826,57,0,2,0.081779053,0,104,84.75609756,0,75,70.46484935,0,84,63.03156385,1,165,13.93687231,0,23,0.032998565,0,29.84,29.5813056,0,0,0,0,15,2.408895265
10/31/2014,91,0,5,0.128712871,92,0,3,0.130127298,126,0,4,0.178217822,1006,0,20,1.42291372,409,0,9,0.578500707,18,0,3,0.025459689,161,0,20,0.227722772,43,0,2,0.060820368,66,104,83.74540311,30,73,58.73550212,9,89,48.08062235,0,24,7.595473833,0,0,0,29.63,29.95,29.80065064,0,0,0,0,21,2.451202263
11/30/2014,128,0,5,0.18962963,83,0,2,0.122962963,132,0,5,0.195555556,660,0,11,0.977777778,462,0,7,0.684444444,19,0,3,0.028148148,105,0,10,0.155555556,40,0,4,0.059259259,0,93,77.75703704,0,73,50.47703704,0,89,45.05925926,0,23,6.638518519,0,0,0,0,30.01,29.78431111,0,0,0,0,20,2.805925926
12/31/2014,122,0,5,0.170868347,101,0,3,0.141456583,96,0,4,0.134453782,967,0,17,1.354341737,465,0,11,0.651260504,22,0,2,0.030812325,152,0,10,0.212885154,29,0,2,0.040616246,0,90,67.44117647,0,64,38.2394958,0,88,38.70028011,0,20,5.788515406,0,0,0,0,31.1,29.90794118,0,0,0,0,20,3.523809524
1/31/2015,130,0,4,0.178326475,114,0,3,0.156378601,139,0,5,0.190672154,1033,0,17,1.417009602,456,0,9,0.625514403,24,0,2,0.032921811,176,0,20,0.241426612,42,0,2,0.057613169,0,86,66.10973937,0,66,44.53223594,0,94,49.65980796,0,162,8.189300412,0,0,0,0,30.13,29.44026063,0,0,0,0,23,4.764060357
2/28/2015,110,0,4,0.168195719,106,0,3,0.162079511,122,0,4,0.186544343,941,0,17,1.43883792,238,0,6,0.363914373,9,0,1,0.013761468,208,0,25,0.318042813,47,0,2,0.071865443,55,91,72.27217125,18,70,51.14220183,11,94,52.01376147,0,51,8.902140673,0,21,0.055045872,0,30.16,29.83819572,0,0,0,0,24,3.363914373
3/31/2015,150,0,5,0.204359673,113,0,4,0.153950954,128,0,3,0.174386921,1064,0,24,1.449591281,206,0,5,0.280653951,13,0,4,0.017711172,170,0,21,0.231607629,54,0,2,0.073569482,0,100,77.02724796,0,70,51.64168937,0,88,45.85831063,0,76,8.467302452,0,40,0.324250681,29.66,30.13,29.85633515,0,0,0,0,21,2.001362398
4/30/2015,137,0,4,0.19683908,82,0,3,0.117816092,113,0,4,0.162356322,901,0,14,1.29454023,188,0,6,0.270114943,5,0,2,0.007183908,95,0,10,0.136494253,107,0,4,0.153735632,73,104,85.96264368,34,77,63.20545977,11,88,51.25574713,0,24,9.808908046,0,0,0,29.54,29.87,29.69525862,0,0,0,0,21,2.287356322
5/31/2015,148,0,3,0.204137931,101,0,3,0.139310345,131,0,3,0.180689655,731,0,25,1.008275862,187,0,5,0.257931034,10,0,2,0.013793103,100,0,20,0.137931034,159,0,5,0.219310345,0,109,87.79448276,0,79,73.23586207,0,84,63.89793103,0,124,11.83724138,0,28,0.077241379,0,29.75,29.53651034,0,0,0,0,15,1.569655172
6/30/2015,141,0,5,0.201428571,99,0,2,0.141428571,144,0,3,0.205714286,708,0,13,1.011428571,215,0,8,0.307142857,12,0,2,0.017142857,193,0,20,0.275714286,124,0,4,0.177142857,77,111,91.12428571,52,88,73.2,0,89,57.42285714,0,28,12.17,0,32,0.045714286,0,29.72,29.08248571,0,0,0,0,28,2.232857143
7/31/2015,160,0,5,0.231213873,94,0,2,0.13583815,114,0,4,0.164739884,661,0,12,0.955202312,191,0,9,0.276011561,6,0,2,0.00867052,57,0,6,0.082369942,118,0,3,0.170520231,0,95,87.17052023,0,82,74.84682081,0,94,67.35260116,0,29,14.77601156,0,0,0,0,29.63,29.28575145,0,0,0,0,29,5.075144509
8/31/2015,169,0,3,0.238028169,129,0,4,0.181690141,121,0,3,0.170422535,765,0,14,1.077464789,248,0,6,0.349295775,15,0,3,0.021126761,42,0,5,0.05915493,79,0,3,0.111267606,0,97,84.21971831,0,75,72.20985915,0,89,67.20985915,0,146,12.82253521,0,0,0,29.42,29.66,29.55284507,0,0,0,0,18,3.295774648
9/30/2015,150,0,4,0.216763006,114,0,4,0.164739884,103,0,2,0.148843931,831,0,17,1.200867052,236,0,7,0.341040462,11,0,3,0.015895954,91,0,6,0.13150289,69,0,3,0.099710983,0,108,85.37572254,0,77,69.21676301,0,84,60.4234104,0,35,9.25,0,0,0,29.39,29.89,29.65754335,0,0,0,0,11,1.813583815
10/31/2015,181,0,4,0.254571027,107,0,2,0.150492264,135,0,3,0.189873418,1532,0,21,2.154711674,214,0,9,0.300984529,7,0,2,0.009845288,182,0,15,0.255977496,69,0,3,0.097046414,68,104,85.2137834,34,77,64.51758087,12,89,54.09001406,0,18,7.894514768,0,0,0,0,29.98,29.68032349,0,0,0,0,30,1.752461322
11/30/2015,131,0,4,0.188489209,110,0,3,0.158273381,136,0,3,0.195683453,1184,0,20,1.703597122,217,0,9,0.312230216,18,0,3,0.025899281,165,0,20,0.237410072,42,0,2,0.060431655,0,97,76.97985612,0,73,43.76546763,0,89,34.47482014,0,124,6.438848921,0,0,0,0,30.07,29.75847482,0,0,0,0,20,3.553956835
12/31/2015,148,0,5,0.205270458,119,0,3,0.165048544,134,0,6,0.185852982,1239,0,21,1.718446602,282,0,11,0.39112344,28,0,4,0.038834951,231,0,20,0.32038835,40,0,3,0.055478502,0,88,67.58391123,0,66,38.23439667,0,88,38.99167822,0,99,5.26629681,0,0,0,0,30.22,29.88169209,0,0,0,0,20,4.306518724
1/31/2016,157,0,5,0.218055556,110,0,3,0.152777778,165,0,5,0.229166667,1449,0,26,2.0125,244,0,10,0.338888889,24,0,3,0.033333333,174,0,11,0.241666667,56,0,2,0.077777778,0,86,69.08055556,0,66,51.28611111,0,94,56.27222222,0,18,5.572222222,0,0,0,0,30.13,29.85793056,0,0,0,0,20,4.618055556
2/29/2016,158,0,5,0.245723173,113,0,3,0.175738725,118,0,5,0.183514774,1128,0,19,1.754276827,224,0,8,0.34836703,19,0,4,0.029548989,232,0,20,0.360808709,54,0,3,0.083981337,54,97,72.26749611,14,64,39.81026439,7,88,36.23950233,0,33,7.541213064,0,0,0,29.75,30.07,29.92147745,0,0,0,0,21,2.368584759
